Business_Name,,Location,,Review text,,,,,,,,,,Rating
CTR  Shri Sagar,,malleshwaram,,Best thing to try * Benne Masala Dosa / Ghee Masala Dosa ending with coffee.,,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,i dont think there are words to describe CTR food. excellent food. excellent service. ,,,,,,,,,,5
MTR,,Sudhama Nagar,,Where history is served on a plate MTR legendary more than 100years old,,,,,,,,,,5
MTR,,Sudhama Nagar,,"I recently visited MTR near Lal bagh for both breakfast and lunch, and overall, it was a very pleasant experience.",,,,,,,,,,5
MTR,,Sudhama Nagar,,This was my first visit to MTR. Had heard alot about their authentic South Indian cuisine.,,,,,,,,,,5
MTR,,Sudhama Nagar,,MTR is one of the legacy restaurants in bangalore. I feel the taste is not as good as it was before. ,,,,,,,,,,4
MTR,,Sudhama Nagar,,I'm quite mad that I hadn't discovered this gem of a restaurant till now.,,,,,,,,,,5
MTR,,Sudhama Nagar,,Amazing nostalgia served with a side of a thimble of ghee. ,,,,,,,,,,4
MTR,,Sudhama Nagar,,Don't expect too much! I mean it is just another spot where you get a decent dosa. ,,,,,,,,,,4
MTR,,Sudhama Nagar,,"MTR's first restaurant, quality food, hygienic environment. ",,,,,,,,,,5
MTR,,Sudhama Nagar,,Food have same taste of usual Udupi hotel not that much great.,,,,,,,,,,3
MTR,,Sudhama Nagar,,An authentic and truly gem of Bengaluru to enjoy the culinary experience. ,,,,,,,,,,5
MTR,,Sudhama Nagar,,One of the finest South Indian restaurant for tiffin and special meals which is unlimited in everything. ,,,,,,,,,,5
MTR,,Sudhama Nagar,,MTR was succesful in bringing their own uniqueness to the classil South Indian dish.,,,,,,,,,,5
MTR,,Sudhama Nagar,,"My second visit here. Rava idli was best like last time, badam halwa also good.",,,,,,,,,,4
MTR,,Sudhama Nagar,,Hot stop for authentic south Indian vegetarian delicacies. 😋😋😋,,,,,,,,,,5
MTR,,Sudhama Nagar,,"The food was tasty and there service was good, expect 40 mins of waiting time during rush hours",,,,,,,,,,4
MTR,,Sudhama Nagar,,Over hyped restaurant with absurdly high price.,,,,,,,,,,3
MTR,,Sudhama Nagar,,"Very disappointing experience. We visited MTR Lalbagh a year ago, and the thali had a much better ",,,,,,,,,,3
MTR,,Sudhama Nagar,,If you ever thought this may not be worth the hype. You are wrong!,,,,,,,,,,5
MTR,,Sudhama Nagar,,"Good place for lunch, simple and tasty. On weekends brace for waiting times 30-40 mins",,,,,,,,,,4
MTR,,Sudhama Nagar,,"Taste was okay types… felt MTR is quite hyped but the service was really poor, server was kinda rude",,,,,,,,,,4
MTR,,Sudhama Nagar,,Most of the items in the menu are not available. Expensive for the dining experience and quantity we get.,,,,,,,,,,3
MTR,,Sudhama Nagar,,This was my first visit to MTR. Had heard alot about their authentic South Indian cuisine.,,,,,,,,,,5
